nregistro,nombre,principios_activos,pdf_url
81012,ABACAVIR/LAMIVUDINA DR. REDDYS 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abacavir + lamivudina,https://cima.aemps.es/cima/pdfs/ft/81012/FT_81012.pdf
84182,ABACAVIR/LAMIVUDINA KERN PHARMA 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abacavir + lamivudina,https://cima.aemps.es/cima/pdfs/ft/84182/FT_84182.pdf
80803,ABACAVIR/LAMIVUDINA SANDOZ 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abacavir + lamivudina,https://cima.aemps.es/cima/pdfs/ft/80803/FT_80803.pdf
82913,ABACAVIR/LAMIVUDINA STADA 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abacavir + lamivudina,https://cima.aemps.es/cima/pdfs/ft/82913/FT_82913.pdf
87969,ABIRATERONA NORMON 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abiraterona,https://cima.aemps.es/cima/pdfs/ft/87969/FT_87969.pdf
86024,ABIRATERONA SANDOZ 500 MG COMPRIMDOS RECUBIERTOS CON PELICULA EFG,abiraterona,https://cima.aemps.es/cima/pdfs/ft/86024/FT_86024.pdf
86037,ABIRATERONA STADA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abiraterona,https://cima.aemps.es/cima/pdfs/ft/86037/FT_86037.pdf
07428001,ABRAXANE 5 MG/ML POLVO PARA DISPERSION PARA PERFUSION,paclitaxel,https://cima.aemps.es/cima/pdfs/ft/07428001/FT_07428001.pdf
85180,ABRILIA 20 MG COMPRIMIDOS EFG,bilastina,https://cima.aemps.es/cima/pdfs/ft/85180/FT_85180.pdf
1231752001,ABRYSVO POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,vacuna anti virus respiratorio sincitial,https://cima.aemps.es/cima/pdfs/ft/1231752001/FT_1231752001.pdf
